phase,model_id,runtime_seconds,evaluated_users,seconds_per_user
C0,C0_svd64,8.336019277572632,9547,0.0008731558895540622
C1,C1_tfidf10k,621.9236335754395,9547,0.06514335745003032
C2,C2_a70,636.9413783550262,9547,0.06671639031685621
C3,C3_t10,270.7976117134094,9547,0.028364681231110234
C4,C4_rrf60,638.3091175556183,9547,0.06685965408564139
