version,phase,model_id,model_name,split,k,evaluated_users,precision_at_k,recall_at_k,ndcg_at_k,hit_at_k,catalog_coverage_at_k,total_recommendations,unique_recommended_items,runtime_seconds,seconds_per_user,parameters,notes
C,C0,C0_svd32,SVD CF baseline 32,filtered_temporal,10,1000,0.002,0.02,0.009350472698888009,0.02,0.009136556579356041,10000,353,1.146996259689331,0.001146996259689331,"{""n_components"": 32}",SVD collaborative filtering baseline
C,C1,C1_tfidf5000,TF-IDF content baseline 5000,filtered_temporal,10,1000,0.0,0.0,0.0,0.0,0.08665493322290092,10000,3348,64.17267727851868,0.06417267727851868,"{""max_features"": 5000}",TF-IDF user-profile content baseline
C,C2,C2_a50,Weighted hybrid alpha=0.5,filtered_temporal,10,1000,0.0018000000000000002,0.018,0.009337149987082854,0.018,0.05225696241846982,10000,2019,242.84453701972961,0.2428445370197296,"{""alpha_cf"": 0.5, ""alpha_content"": 0.5}",Weighted hybrid: alpha*norm(CF) + (1-alpha)*norm(content)
C,C2,C2_a70,Weighted hybrid alpha=0.7,filtered_temporal,10,1000,0.0018000000000000002,0.018,0.009283945584573457,0.018,0.014675432239362253,10000,567,267.9523422718048,0.2679523422718048,"{""alpha_cf"": 0.7, ""alpha_content"": 0.3}",Weighted hybrid: alpha*norm(CF) + (1-alpha)*norm(content)
C,C3,C3_t10,Switching hybrid threshold=10,filtered_temporal,10,1000,0.0018000000000000002,0.018,0.00841851294965257,0.018,0.061885288332125477,10000,2391,19.759033918380737,0.01975903391838074,"{""switch_threshold"": 10}","Switching hybrid: CF if history>=threshold, else content"
C,C4,C4_rrf60,RRF hybrid k=60,filtered_temporal,10,1000,0.0009000000000000001,0.009,0.005490484620363731,0.009,0.053654622631742414,10000,2073,57.35654091835022,0.05735654091835022,"{""rrf_k"": 60, ""n_candidates"": 200}",Reciprocal Rank Fusion of CF and content top-N lists
